SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-1122O-2426-SM-5GIDN,1.0,B1,2 pieces,7.0,Muscle,Muscle - Skeletal,0011907,131.0,872.0,BP-44261,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4796,02/27/2014,TruSeq.v1,RNASEQ,,0.991915,182569.0,0.9809110000000001,,0.994101,0.869498,,19070.0,1.0,,76.0,,0.00254273,149.0,0.0,62735000.0,0.0188662,716038.0,63107200.0,7887630.0,,19077.0,31241000.0,,,0.0,0.11141300000000001,0.994101,0.864369,62735000.0,0.00300344,13739300.0,8198060.0,13782200.0,154.0,13779400.0,12422300.0,0.00277258,13870300.0,50.1643,0.0113464,0.996288,,0.0,50.078
GTEX-1128S-0005-SM-5P9HI,,B1,,6.7,Blood,Whole Blood,0013756,783.0,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.9731770000000001,1381130.0,0.946127,,0.973843,0.709849,,20836.0,1.0,,76.0,,0.00365126,143.0,0.0,113818000.0,0.0529809,273590.0,116875000.0,4173700.0,,20867.0,56627300.0,,,0.0,0.236279,0.973843,0.691281,113818000.0,0.00430654,25130200.0,152046000.0,25711100.0,169.0,25606100.0,23710500.0,0.00397868,25358300.0,49.7569,0.00234088,0.9745090000000001,,0.0,50.5713
GTEX-113IC-0006-SM-5NQ9C,,B1,,8.6,Blood,Whole Blood,0013756,-351.0,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.9909530000000001,494848.0,0.9543450000000001,,0.992398,0.75565,,20349.0,1.0,,76.0,,0.00238642,114.0,0.0,65513200.0,0.045144199999999995,84043.0,66015100.0,4877550.0,,20363.0,32613100.0,,,0.0,0.198695,0.992398,0.749905,65513200.0,0.00341612,14324400.0,38671400.0,14499900.0,125.0,14496400.0,12761100.0,0.00290052,14429900.0,49.8851,0.00127309,0.993843,,0.0,50.3045
GTEX-117YX-1226-SM-5H11S,1.0,B1,2 pieces,6.6,Thyroid,Thyroid,0002046,105.0,701.0,BP-43507,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.9900200000000001,230852.0,0.9679909999999999,,0.9924649999999999,0.786047,,23063.0,1.0,,76.0,,0.00211662,152.0,0.0,70035600.0,0.0317536,508428.0,70567400.0,8794710.0,,23089.0,34851200.0,,,0.0,0.181944,0.9924649999999999,0.7801239999999999,70035600.0,0.00324926,15339200.0,7522720.0,15412200.0,168.0,15410500.0,10795600.0,0.00268154,15505900.0,50.1543,0.00720486,0.994909,,0.0,50.1187
GTEX-117YX-2326-SM-5H12W,0.0,B1,4 pieces; well trimmed,6.4,Skin,Skin - Sun Exposed (Lower leg),0004264,147.0,659.0,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4805,02/27/2014,TruSeq.v1,RNASEQ,,0.987662,212998.0,0.9747399999999999,,0.9905219999999999,0.8187989999999999,,22939.0,1.0,,76.0,,0.0022215,179.0,0.0,71297100.0,0.0250351,685275.0,71979300.0,8949500.0,,22960.0,35452600.0,,,0.0,0.155941,0.9905219999999999,0.811038,71297100.0,0.00369191,15678600.0,7408460.0,15748800.0,181.0,15737300.0,11482300.0,0.00295458,15888700.0,50.2393,0.00952045,0.993381,,0.0,50.1116
GTEX-11DXX-2726-SM-5PNXO,1.0,B1,"2 pieces, portion of tendon, up to 10% fat",8.7,Muscle,Muscle - Skeletal,0011907,166.0,447.0,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013,LCSET-4918,03/29/2014,TruSeq.v1,RNASEQ,,0.992876,234549.0,0.9802559999999999,,0.9934719999999999,0.881867,,20185.0,1.0,,76.0,,0.00293294,283.0,0.0,103670000.0,0.019508900000000003,1386970.0,104351000.0,2948500.0,,20198.0,51671500.0,,,0.0,0.0983886,0.9934719999999999,0.87611,103670000.0,0.00336199,22625200.0,13006400.0,22830700.0,307.0,22709100.0,21346400.0,0.00314733,22802800.0,50.103,0.013291399999999998,0.9940690000000001,,0.0,50.226000000000006
GTEX-11DXY-0006-SM-5NQ8N,,B1,,8.4,Blood,Whole Blood,0013756,867.0,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.9753569999999999,436042.0,0.9752780000000001,,0.977483,0.776251,,18671.0,1.0,,76.0,,0.00231404,102.0,0.0,74171700.0,0.024006599999999996,270165.0,75880300.0,6261120.0,,18683.0,36902600.0,,,0.0,0.199027,0.977483,0.7587729999999999,74171700.0,0.00351205,17048900.0,93821200.0,17399300.0,125.0,17419000.0,17568800.0,0.00291174,17206100.0,49.6925,0.00356041,0.9796090000000001,,0.0,50.5086
GTEX-11DXY-0826-SM-5EGGR,1.0,B1,"2 pieces, few box car nuclei (myocyte hypertrophy), one piece includes ~10% fat/vessels",6.0,Heart,Heart - Left Ventricle,0006566,908.0,1132.0,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4764,02/09/2014,TruSeq.v1,RNASEQ,,0.978367,129069.0,0.986817,,0.9845649999999999,0.8453579999999999,,19049.0,1.0,,76.0,,0.00216426,265.0,0.0,75518000.0,0.013138,6292780.0,76701900.0,12794000.0,,19053.0,37460400.0,,,0.0,0.141459,0.9845649999999999,0.83231,75518000.0,0.00574981,16762000.0,38473900.0,16409500.0,305.0,16314000.0,3803560.0,0.00394575,17194800.0,51.3143,0.08204199999999999,0.990762,,0.0,49.4686
GTEX-11DXZ-2426-SM-5N9DT,0.0,B1,"2 pieces, includes 5-10% internal adipose tissue",8.7,Muscle,Muscle - Skeletal,0011907,330.0,871.0,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.993561,157941.0,0.983117,,0.994394,0.866232,,19245.0,1.0,,76.0,,0.00323695,132.0,0.0,76554400.0,0.016590200000000003,695611.0,76985900.0,3429490.0,,19251.0,38158100.0,,,0.0,0.11688499999999999,0.994394,0.861376,76554400.0,0.00362485,16110300.0,9572300.0,16234200.0,164.0,16116800.0,15741500.0,0.00343074,16291400.0,50.2693,0.00903556,0.9952280000000001,,0.0,50.1916
GTEX-11DYG-0011-R5a-SM-DO928,,"C1, A1",,8.4,Brain,Brain - Caudate (basal ganglia),0001873,686.0,,BP-42439,RNA isolation_PAXgene Tissue miRNA,08/19/2013,LCSET-10341,02/22/2017,TruSeq.v1,RNASEQ,,0.995517,811492.0,0.968218,,0.996244,0.876966,,22400.0,1.0,,76.0,,0.00292144,372.0,0.0,99649100.0,0.0314173,7229410.0,100025000.0,5827010.0,,22412.0,49674000.0,,,0.0,0.09125189999999998,0.996244,0.8736719999999999,99649100.0,0.00326638,21421200.0,23585600.0,21888800.0,339.0,21825200.0,11805000.0,0.00309379,21555900.0,49.6897,0.07227610000000001,0.99697,,0.0,50.5399
GTEX-11DYG-1326-SM-5N9DO,1.0,C1,6 pieces; chronic esophagitis with cystic submucosal ducts [pseudodiverticulosis],6.8,Esophagus,Esophagus - Mucosa,0006920,860.0,854.0,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.991225,197225.0,0.9690790000000001,,0.992173,0.7133729999999999,,24821.0,1.0,,76.0,,0.00317438,150.0,0.0,77140700.0,0.0306798,327616.0,77749300.0,3907020.0,,24865.0,38395900.0,,,0.0,0.255707,0.992173,0.707789,77140700.0,0.00368991,17174600.0,8910930.0,17214800.0,156.0,17170800.0,11450500.0,0.0034319000000000003,17294100.0,50.178999999999995,0.00421375,0.9931209999999999,,0.0,50.0584
GTEX-11DZ1-0011-R8b-SM-DNZZI,,"C1, A1",,7.1,Brain,Brain - Hypothalamus,0001898,1060.0,,BP-42276,RNA isolation_PAXgene Tissue miRNA,08/13/2013,LCSET-10340,02/12/2017,TruSeq.v1,RNASEQ,,0.9890639999999999,481378.0,0.9637370000000001,,0.9927040000000001,0.8568709999999999,,23784.0,1.0,,76.0,,0.00211365,270.0,0.0,90309000.0,0.035948400000000005,10334500.0,90972800.0,8577220.0,,23800.0,44897100.0,,,0.0,0.106866,0.9927040000000001,0.850619,90309000.0,0.00396442,19783900.0,17322000.0,20198200.0,302.0,20261600.0,11233200.0,0.00303564,20014000.0,49.6926,0.1136,0.996343,,0.0,50.518
GTEX-11EI6-0726-SM-59866,1.0,C1,"2 pieces, minute colloid cyst, no abnormalities",6.3,Thyroid,Thyroid,0002046,986.0,1430.0,BP-44902,RNA Extraction from Paxgene-derived Lysate Plate Based,10/22/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.983771,255302.0,0.969367,,0.9890969999999999,0.8039810000000001,,24154.0,1.0,,76.0,,0.00265477,141.0,0.0,69993900.0,0.030295099999999995,295787.0,70765500.0,14817900.0,,24182.0,34720900.0,,,0.0,0.16538599999999998,0.9890969999999999,0.795216,69993900.0,0.00647303,15218300.0,7952020.0,15382700.0,150.0,15497600.0,12580900.0,0.00455362,15456400.0,49.9335,0.00417982,0.994423,,0.0,50.2685
GTEX-11EM3-0001-SM-5Q5BD,,B1,,10.0,Blood,Cells - EBV-transformed lymphocytes,EFO_0000572,1143.0,,BP-40621,RNA isolation_Trizol Manual (Cell Pellet),07/10/2013,LCSET-4952,03/29/2014,TruSeq.v1,RNASEQ,,0.990326,507003.0,0.9629459999999999,,0.9928620000000001,0.798617,,20197.0,1.0,,76.0,,0.00165773,140.0,0.0,62791800.0,0.036636,469453.0,63243200.0,4329400.0,,20222.0,31241500.0,,,0.0,0.164329,0.9928620000000001,0.792917,62791800.0,0.00269206,13859000.0,12734300.0,13895000.0,133.0,13924700.0,14323400.0,0.00217358,13992500.0,50.1214,0.00742298,0.9953989999999999,,0.0,50.0649
GTEX-11EMC-0011-R8b-SM-DO91Z,,"B1, A1",,5.7,Brain,Brain - Hypothalamus,0001898,640.0,,BP-42276,RNA isolation_PAXgene Tissue miRNA,08/13/2013,LCSET-10341,02/22/2017,TruSeq.v1,RNASEQ,,0.995826,272766.0,0.967304,,0.9965639999999999,0.845124,,21248.0,1.0,,76.0,,0.00157982,385.0,0.0,84588800.0,0.0325459,10349900.0,84880500.0,4883570.0,,21263.0,42189100.0,,,0.0,0.12218,0.9965639999999999,0.8422200000000001,84588800.0,0.00212697,18601100.0,17149400.0,19158800.0,352.0,18784100.0,6828830.0,0.00185319,19017300.0,50.3084,0.12193499999999999,0.997301,,0.0,50.7384
GTEX-11EMC-0926-SM-59863,1.0,B1,"6 pieces, adherent fat serosa up to ~0.5mm, rep delineated",5.9,Blood Vessel,Artery - Aorta,0001496,715.0,685.0,BP-44902,RNA Extraction from Paxgene-derived Lysate Plate Based,10/22/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.979144,292253.0,0.974383,,0.98388,0.756315,,23384.0,1.0,,76.0,,0.00285001,139.0,0.0,75893000.0,0.025152599999999997,198701.0,77136400.0,15848200.0,,23414.0,37641300.0,,,0.0,0.21806799999999998,0.98388,0.744123,75893000.0,0.00618532,16440400.0,8445870.0,16570900.0,153.0,16675500.0,12829900.0,0.00450964,16681500.0,50.0091,0.00257597,0.9886159999999999,,0.0,50.1976
GTEX-11EMC-2226-SM-5A5JW,2.0,B1,"3 pieces, squamous mucosa up to ~50-70% thickness, partially sloughing",8.3,Esophagus,Esophagus - Mucosa,0006920,740.0,660.0,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.9901540000000001,325602.0,0.972828,,0.9927040000000001,0.734309,,22769.0,1.0,,76.0,,0.00219098,143.0,0.0,72608500.0,0.026954099999999998,244011.0,73142200.0,8205250.0,,22794.0,36123300.0,,,0.0,0.238519,0.9927040000000001,0.728951,72608500.0,0.00393536,16268500.0,12181200.0,16509300.0,154.0,16552800.0,11948100.0,0.00306093,16403900.0,49.7742,0.00333612,0.995253,,0.0,50.3673
GTEX-11EQ8-0006-SM-5P9HJ,,C1,,6.6,Blood,Whole Blood,0013756,352.0,,BP-39302,RNA isolation_PAXgene Blood RNA (Manual),05/23/2013,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.9699709999999999,613790.0,0.969943,,0.970949,0.808133,,18590.0,1.0,,76.0,,0.00363866,160.0,0.0,103075000.0,0.0284448,499050.0,106159000.0,3740650.0,,18598.0,51243900.0,,,0.0,0.16180999999999998,0.970949,0.784656,103075000.0,0.00442219,23862200.0,138201000.0,24238800.0,178.0,24181700.0,25316300.0,0.00403003,24048300.0,49.8616,0.00470098,0.971928,,0.0,50.3915
GTEX-11EQ9-1426-SM-5987G,1.0,B1,"6 pieces, mucosa is 5-10% thickness, ~0.2-0.4mm thick",8.0,Colon,Colon - Transverse,0001157,116.0,583.0,BP-44577,RNA Extraction from Paxgene-derived Lysate Plate Based,10/11/2013,LCSET-4417,01/23/2014,TruSeq.v1,RNASEQ,,0.985419,266003.0,0.976183,,0.9904639999999999,0.8295389999999999,,22450.0,1.0,,76.0,,0.00254397,141.0,0.0,71957000.0,0.0235337,379473.0,72649800.0,15189700.0,,22465.0,35724200.0,,,0.0,0.146644,0.9904639999999999,0.821628,71957000.0,0.00629591,15705900.0,7323560.0,15740100.0,164.0,15834100.0,12505300.0,0.00441039,15946100.0,50.1761,0.00522332,0.995509,,0.0,50.0545
GTEX-11GS4-0226-SM-5HL77,1.0,B1,"6 pieces, well trimmed with minimal fat",7.4,Skin,Skin - Not Sun Exposed (Suprapubic),0036149,785.0,659.0,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,09/18/2013,LCSET-4806,03/02/2014,TruSeq.v1,RNASEQ,,0.9902340000000001,248205.0,0.970673,,0.992274,0.7373930000000001,,23390.0,1.0,,76.0,,0.0023386999999999995,152.0,0.0,67965200.0,0.0290974,268433.0,68494400.0,7150330.0,,23419.0,33825000.0,,,0.0,0.23328000000000002,0.992274,0.731696,67965200.0,0.00339208,14843700.0,7856660.0,14967000.0,149.0,14966900.0,10171300.0,0.00286431,14974900.0,50.0134,0.00391905,0.9943139999999999,,0.0,50.2068
GTEX-11GS4-0526-SM-5A5KQ,1.0,B1,2 pieces,6.6,Heart,Heart - Left Ventricle,0006566,798.0,646.0,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/03/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.986584,185868.0,0.985783,,0.9892209999999999,0.827076,,20696.0,1.0,,76.0,,0.00261461,266.0,0.0,77875400.0,0.014093200000000002,3416310.0,78723900.0,9053840.0,,20707.0,38761500.0,,,0.0,0.158707,0.9892209999999999,0.8181609999999999,77875400.0,0.00478885,17232700.0,34033700.0,16886900.0,264.0,16871600.0,6969230.0,0.00369884,17407800.0,50.7821,0.0433961,0.991857,,0.0,49.4932
GTEX-11GS4-2926-SM-5A5LF,1.0,B1,"3 pieces, atherosclerosis with narrowing of the lumen by ~50%, medial calcification",7.6,Blood Vessel,Artery - Tibial,0007610,919.0,525.0,BP-44512,RNA Extraction from Paxgene-derived Lysate Plate Based,10/10/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.989376,233352.0,0.9723430000000001,,0.992165,0.810312,,22990.0,1.0,,76.0,,0.0021755,208.0,0.0,82707100.0,0.0272855,263103.0,83360200.0,11043900.0,,23012.0,41137800.0,,,0.0,0.162031,0.992165,0.803964,82707100.0,0.0039553,17722800.0,8075130.0,17924800.0,213.0,17946700.0,15421700.0,0.0030629000000000003,17915200.0,49.9561,0.00315622,0.9949540000000001,,0.0,50.2834
GTEX-11GSP-0011-R1a-SM-9QEJ3,,"B1, A1",,6.7,Brain,Brain - Hippocampus,0001954,711.0,,BP-42441,RNA isolation_PAXgene Tissue miRNA,08/19/2013,LCSET-7199,06/06/2015,TruSeq.v1,RNASEQ,,0.9914059999999999,312699.0,0.96344,,0.9941559999999999,0.823411,,23572.0,1.0,,76.0,,0.00189587,267.0,0.0,92977500.0,0.036354000000000004,8166400.0,93524000.0,4438170.0,,23596.0,46279400.0,,,0.0,0.140029,0.9941559999999999,0.8186,92977500.0,0.00386478,20140300.0,21452000.0,20608800.0,322.0,20426000.0,7347330.0,0.0028776,20521100.0,50.1162,0.0873188,0.996906,,0.0,50.5748
GTEX-11GSP-0011-R5a-SM-57WBE,,"B1, A1",,8.4,Brain,Brain - Caudate (basal ganglia),0001873,711.0,,BP-42768,RNA isolation_PAXgene Tissue miRNA,08/27/2013,LCSET-4415,12/21/2013,TruSeq.v1,RNASEQ,,0.9915780000000001,416488.0,0.959461,,0.9936879999999999,0.808175,,23693.0,1.0,,76.0,,0.00202779,154.0,0.0,64487000.0,0.04016,3384130.0,64896600.0,7405120.0,,23716.0,32095000.0,,,0.0,0.151286,0.9936879999999999,0.803074,64487000.0,0.00359213,14125600.0,13668300.0,14136400.0,177.0,14116800.0,7649400.0,0.0028083,14267100.0,50.2648,0.052146500000000005,0.9957969999999999,,0.0,50.0191
GTEX-11GSP-1726-SM-5A5LI,1.0,B1,6 pieces,6.2,Esophagus,Esophagus - Muscularis,0004648,785.0,551.0,BP-44512,RNA Extraction from Paxgene-derived Lysate Plate Based,10/10/2013,LCSET-4423,01/29/2014,TruSeq.v1,RNASEQ,,0.990384,241475.0,0.971899,,0.99271,0.783107,,22438.0,1.0,,76.0,,0.00212836,135.0,0.0,66375100.0,0.027905799999999998,1147640.0,66862500.0,7727200.0,,22462.0,33029000.0,,,0.0,0.18879200000000002,0.99271,0.7773979999999999,66375100.0,0.00414973,14531200.0,6512100.0,14653500.0,163.0,14631400.0,8694450.0,0.00313668,14697700.0,50.1131,0.017164099999999998,0.995036,,0.0,50.2095
